HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2023-03-01 22:00;2023-03-01 23:00;DK1;978,780029;131,509995
2023-03-01 21:00;2023-03-01 22:00;DK1;1057,219971;142,050003
2023-03-01 20:00;2023-03-01 21:00;DK1;1058,859985;142,270004
2023-03-01 19:00;2023-03-01 20:00;DK1;1182,180054;158,839996
2023-03-01 18:00;2023-03-01 19:00;DK1;1325,530029;178,100006
2023-03-01 17:00;2023-03-01 18:00;DK1;1367,130005;183,690002
2023-03-01 16:00;2023-03-01 17:00;DK1;1211,209961;162,740005
2023-03-01 15:00;2023-03-01 16:00;DK1;983,989990;132,210007
2023-03-01 14:00;2023-03-01 15:00;DK1;892,070007;119,860001
2023-03-01 13:00;2023-03-01 14:00;DK1;856,940002;115,139999
2023-03-01 12:00;2023-03-01 13:00;DK1;849,349976;114,120003
2023-03-01 11:00;2023-03-01 12:00;DK1;860,070007;115,559998
2023-03-01 10:00;2023-03-01 11:00;DK1;881,729980;118,470001
2023-03-01 09:00;2023-03-01 10:00;DK1;942,900024;126,690002
2023-03-01 08:00;2023-03-01 09:00;DK1;1137,979980;152,899994
2023-03-01 07:00;2023-03-01 08:00;DK1;1384,550049;186,029999
2023-03-01 06:00;2023-03-01 07:00;DK1;1384,550049;186,029999
2023-03-01 05:00;2023-03-01 06:00;DK1;1216,489990;163,449997
2023-03-01 04:00;2023-03-01 05:00;DK1;1052,010010;141,350006
2023-03-01 03:00;2023-03-01 04:00;DK1;971,859985;130,580002
2023-03-01 02:00;2023-03-01 03:00;DK1;950,119995;127,660004
2023-03-01 01:00;2023-03-01 02:00;DK1;930,030029;124,959999
2023-03-01 00:00;2023-03-01 01:00;DK1;933,750000;125,459999
2023-02-28 23:00;2023-03-01 00:00;DK1;990,460022;133,080002
2023-02-28 22:00;2023-02-28 23:00;DK1;1057,839966;142,139999
2023-02-28 21:00;2023-02-28 22:00;DK1;1144,469971;153,779999
2023-02-28 20:00;2023-02-28 21:00;DK1;1177,880005;158,270004
2023-02-28 19:00;2023-02-28 20:00;DK1;1301,569946;174,889999
2023-02-28 18:00;2023-02-28 19:00;DK1;1442,160034;193,779999
2023-02-28 17:00;2023-02-28 18:00;DK1;1442,829956;193,869995
2023-02-28 16:00;2023-02-28 17:00;DK1;1288,469971;173,130005
2023-02-28 15:00;2023-02-28 16:00;DK1;1121,619995;150,710007
2023-02-28 14:00;2023-02-28 15:00;DK1;967,489990;130,000000
2023-02-28 13:00;2023-02-28 14:00;DK1;868,880005;116,750000
2023-02-28 12:00;2023-02-28 13:00;DK1;865,750000;116,330002
2023-02-28 11:00;2023-02-28 12:00;DK1;868,580017;116,709999
2023-02-28 10:00;2023-02-28 11:00;DK1;902,070007;121,209999
2023-02-28 09:00;2023-02-28 10:00;DK1;970,320007;130,380005
2023-02-28 08:00;2023-02-28 09:00;DK1;1193,060059;160,309998
2023-02-28 07:00;2023-02-28 08:00;DK1;1384,550049;186,039993
2023-02-28 06:00;2023-02-28 07:00;DK1;1324,640015;177,990005
2023-02-28 05:00;2023-02-28 06:00;DK1;1209,140015;162,470001
2023-02-28 04:00;2023-02-28 05:00;DK1;1052,410034;141,410004
2023-02-28 03:00;2023-02-28 04:00;DK1;939,580017;126,250000
2023-02-28 02:00;2023-02-28 03:00;DK1;927,229980;124,589996
2023-02-28 01:00;2023-02-28 02:00;DK1;921,570007;123,830002
